datetime,temperature,feels_like,dew_point,humidity,wind_speed,precipitation_cm
2025/02/04 00:30,11.0,8.914549,3.3,59.033764,3.6179552,0.0
2025/02/04 06:30,15.65,15.503571,11.2,74.83908,3.5455887,0.23999998
2025/02/04 12:30,15.2,15.163795,11.75,79.88315,3.9640884,0.14
2025/02/04 18:30,12.15,11.1769085,8.4,77.85316,3.7971041,0.0
2025/02/05 00:30,10.65,9.725867,8.5,86.56083,3.6402748,0.08
2025/02/05 06:30,19.2,17.223385,6.15,42.50975,6.9247384,0.0
2025/02/05 12:30,13.35,11.606699,8.2,71.001335,8.723967,0.0
2025/02/05 18:30,7.65,6.087288,4.7,81.58964,1.9386592,0.0
2025/02/06 00:30,5.2,3.0186715,3.9,91.3162,5.0688457,0.0
2025/02/06 06:30,19.2,15.911797,1.1,29.789633,9.181765,0.0
2025/02/06 12:30,11.9,10.462782,6.5,69.517,3.7842832,0.0
2025/02/06 18:30,8.8,6.613966,1.1,58.481728,1.6299692,0.0
2025/02/07 00:30,7.3,5.2570477,1.45,66.40337,1.0495713,0.0
2025/02/07 06:30,20.75,18.320522,3.6,32.331,6.361415,0.0
2025/02/07 12:30,12.8,12.221462,8.7,76.13283,1.6299692,0.0
2025/02/07 18:30,10.7,7.970662,-2.0,41.087242,2.1674871,0.0
2025/02/08 00:30,8.7,5.8112516,-2.2,46.29623,3.0758414,0.0
2025/02/08 06:30,21.15,19.133116,4.95,34.673866,5.3999996,0.0
2025/02/08 12:30,14.5,14.200712,9.65,72.67017,1.484318,0.0
2025/02/08 18:30,12.0,9.924614,2.35,51.65959,2.3469126,0.0
2025/02/09 00:30,9.8,7.9681034,3.3,63.952282,1.8792552,0.0
2025/02/09 06:30,23.0,21.22054,5.45,32.0723,4.5,0.0
2025/02/09 12:30,15.0,14.3324795,9.85,71.315155,4.39436,0.0
2025/02/09 18:30,13.1,10.710931,-0.35,39.580658,1.4512063,0.0
2025/02/10 00:30,9.75,7.587841,2.05,58.721268,2.5772076,0.0
2025/02/10 06:30,22.55,21.144926,7.8,38.736134,5.692099,0.0
2025/02/10 12:30,15.15,14.317993,9.7,69.924194,5.2323985,0.0
2025/02/10 18:30,8.85,6.9979973,4.55,74.42739,3.710795,0.0
2025/02/11 00:30,11.45,9.293276,1.55,50.59634,1.9469976,0.0
2025/02/11 06:30,21.8,19.622738,5.55,34.739693,7.3799996,0.0
2025/02/11 12:30,16.75,16.234205,9.05,60.43273,1.835647,0.0
2025/02/11 18:30,9.2,7.2895565,5.45,77.3925,5.4149795,0.0
2025/02/12 00:30,8.55,6.6564894,3.15,68.83528,2.1068459,0.0
2025/02/12 06:30,21.25,18.185566,4.2,32.70256,11.525623,0.0
2025/02/12 12:30,14.85,13.453001,6.4,56.967907,3.3481934,0.0
2025/02/12 18:30,8.05,6.333598,4.35,77.47996,2.50064,0.0
2025/02/13 00:30,6.45,4.8276043,4.7,88.57843,2.3469129,0.0
2025/02/13 06:30,19.15,16.58189,4.55,38.159,8.61371,0.0
2025/02/13 12:30,14.45,12.768997,3.7,48.44237,1.3708391,0.0
2025/02/13 18:30,10.75,8.577612,1.25,51.872963,1.7076298,0.0
2025/02/14 00:30,7.35,4.983225,-0.35,58.11269,1.2979984,0.0
2025/02/14 06:30,20.8,18.574488,4.55,34.45276,6.2613096,0.0
2025/02/14 12:30,15.4,13.5588455,3.65,45.40872,2.4014995,0.0
2025/02/14 18:30,12.4,10.462543,2.65,51.40266,1.7727944,0.0
2025/02/15 00:30,11.95,10.014334,2.85,53.70281,2.0124612,0.0
2025/02/15 06:30,15.5,15.172663,10.25,70.9343,2.8460495,0.14
2025/02/15 12:30,15.05,15.364044,11.45,79.07421,0.9178235,0.030000001
2025/02/15 18:30,11.95,10.97033,6.95,71.46276,1.3708391,0.0
2025/02/16 00:30,11.05,9.655211,5.45,68.391235,1.8792552,0.0
2025/02/16 06:30,21.05,19.73867,7.1,40.471268,3.8773184,0.0
2025/02/16 12:30,16.15,15.267698,10.15,67.59436,6.452441,0.0
2025/02/16 18:30,9.25,8.232812,7.65,89.72999,2.7943513,0.0
